@relation parkinsons-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R23_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A22-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R19_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute status numeric
@attribute Cluster {cluster0,cluster1}

@data
13,-0.082486,-0.000322,-0.086372,-0.059173,-0.060143,0.015901,-0.019802,0.052044,0.034123,0.004414,-0.024468,0.063795,-0.057573,-0.040789,0.061434,-0.047564,0.030075,0.019215,-0.001305,0.021242,0.026404,1,cluster1
14,-0.036881,0.014676,-0.032951,-0.04827,-0.084533,0.038643,0.057478,-0.044482,-0.01961,-0.036902,-0.000849,0.082988,-0.012101,0.011703,0.049522,-0.062534,0.065116,-0.066196,-0.000332,0.006524,0.072118,1,cluster1
15,-0.000077,-0.019579,-0.03403,-0.034365,-0.013194,-0.022934,0.015777,-0.031457,-0.040991,-0.016982,0.064662,0.095356,0.004516,0.02841,0.064924,0.040826,-0.029081,-0.040918,0.047588,0.046941,0.086689,1,cluster1
16,-0.053845,0.03202,0.042257,-0.046678,0.074875,-0.019503,-0.084815,-0.013198,0.024455,0.100019,-0.010025,0.141144,-0.029279,0.062869,0.029432,0.063665,-0.05554,0.016692,0.011645,0.067703,0.044497,1,cluster1
17,-0.049917,-0.058505,-0.079412,-0.062773,-0.091446,-0.057219,-0.014945,0.073523,-0.206293,-0.055098,-0.015903,0.129326,-0.041644,0.037927,0.14446,-0.036772,-0.087658,-0.161394,-0.109719,-0.11336,0.16936,1,cluster1
18,0.001562,-0.086113,0.01451,-0.049236,0.052684,-0.124418,0.101438,0.151547,-0.138607,0.026597,-0.023793,-0.001135,-0.046827,-0.095651,0.089479,0.092179,-0.034169,0.044797,-0.022265,-0.111025,0.031812,1,cluster1
19,-0.058778,-0.056388,-0.045368,0.036988,0.165406,-0.076345,-0.024333,0.093305,-0.137615,0.05739,-0.049765,0.018872,-0.115144,0.092461,0.061541,-0.008239,-0.010475,0.103334,-0.030169,-0.056826,-0.044458,1,cluster1
20,0.005837,-0.014297,-0.099196,-0.021511,0.135164,-0.079052,0.197529,0.046533,-0.135811,0.030034,0.011478,-0.009205,-0.064761,0.013455,0.11705,-0.003389,-0.001279,0.033489,-0.065045,-0.044455,0.090465,1,cluster1
21,-0.065361,0.016054,0.032084,-0.025686,0.135394,-0.057256,0.082414,0.007139,-0.030703,-0.010699,-0.036675,-0.004518,-0.052684,-0.091673,0.122003,0.06547,0.04002,0.025072,0.067548,-0.012819,0.103997,1,cluster1
22,-0.096065,0.063021,0.002627,-0.069677,0.038342,0.018102,0.023504,0.146687,-0.106464,-0.093271,0.141065,-0.056159,-0.134738,-0.034122,0.070894,0.037331,-0.085688,0.034763,0.028858,0.0254,0.040867,1,cluster1
23,-0.076602,0.075346,0.039924,-0.023583,0.041842,-0.081488,0.053926,0.09307,-0.073184,-0.008071,0.024801,0.028617,-0.089699,0.038637,0.014882,-0.013147,-0.025167,0.050199,0.046239,-0.012005,0.046916,1,cluster1
24,-0.061494,0.007531,-0.081804,0.004545,0.007559,-0.015316,0.061952,0.066118,0.048744,0.036375,0.009942,0.015694,0.04526,-0.046326,-0.008192,-0.061813,-0.067038,0.036103,-0.092829,0.034007,-0.00986,1,cluster1
25,-0.088822,-0.079938,0.000845,-0.091787,0.029797,0.003806,0.007951,0.16697,0.032313,0.075335,-0.046676,-0.04931,-0.054414,-0.089448,-0.00354,0.03337,-0.049648,0.019377,0.065319,0.089751,-0.115834,1,cluster1
26,-0.054571,0.019819,-0.058919,-0.041154,0.007988,0.060003,0.088056,0.024435,0.026678,0.031,0.018423,-0.005545,0.046046,-0.151894,0.010572,-0.009372,-0.04157,0.048749,-0.028368,-0.034101,-0.028831,1,cluster1
27,-0.00324,0.060804,-0.075142,-0.048009,-0.010789,-0.06786,-0.020752,0.049893,0.03304,0.042429,-0.02127,0.098354,0.059697,-0.010433,-0.084039,-0.004371,0.014502,0.052406,0.024062,-0.009739,-0.019236,1,cluster1
28,-0.012065,-0.006768,-0.062228,-0.019299,-0.00585,0.015342,0.026951,-0.036659,0.006076,0.058229,-0.045897,0.179831,0.046528,-0.040868,0.003933,0.031388,0.070535,0.043783,0.022267,-0.048305,-0.145915,1,cluster1
29,0.010684,0.080054,-0.047756,-0.037986,-0.038645,-0.049749,0.041275,0.015537,-0.036528,0.060853,0.095969,0.055206,-0.035684,-0.079521,-0.02226,0.005422,0.124663,0.133536,-0.083893,-0.029689,-0.085198,1,cluster1
30,0.077781,0.042598,0.009164,0.069138,0.024028,0.00775,-0.021916,-0.079425,-0.076514,0.001474,0.052781,0.027169,0.041475,-0.037097,-0.029878,-0.02769,0.049515,0.033853,0.021733,-0.030178,-0.070554,0,cluster0
31,0.086177,-0.051628,0.013347,0.082376,0.043375,0.047444,0.017204,0.061715,-0.084484,-0.024171,0.192761,0.049244,0.060348,-0.057243,-0.040955,-0.00473,-0.001828,-0.010124,0.06732,0.024555,-0.133314,0,cluster0
32,0.089081,0.00575,0.065585,0.007187,0.040956,0.036622,0.009049,-0.125245,-0.119689,-0.014606,0.159787,0.020782,0.053604,-0.124199,0.00387,-0.022762,-0.022683,-0.031249,0.079112,-0.071393,-0.017184,0,cluster0
33,0.052614,0.011142,0.06014,0.030569,0.038332,-0.011355,-0.037767,-0.08533,-0.065985,0.008793,0.147185,0.091212,0.073253,-0.122785,-0.056113,-0.038157,-0.026729,0.008131,0.125323,-0.091224,-0.071934,0,cluster0
34,0.053251,0.006051,0.058286,0.017428,-0.010406,0.028144,0.019616,-0.083153,-0.074045,0.04023,0.156119,0.025053,0.017686,-0.173907,0.02987,-0.103462,0.061379,-0.017282,0.080793,-0.089301,-0.066969,0,cluster0
35,0.021996,-0.080725,0.003573,0.081265,0.075246,0.071262,0.01596,0.080311,-0.000992,-0.007045,0.10687,0.036662,0.115996,-0.097966,-0.031284,-0.045644,-0.073705,-0.038462,0.148194,-0.007093,-0.10026,0,cluster0
36,0.074537,0.082274,-0.068161,0.090145,-0.028288,0.014584,-0.061221,0.068223,-0.014091,-0.020806,0.02454,-0.082809,-0.044659,-0.001354,-0.045983,-0.044762,0.026977,0.068433,-0.025762,0.001614,-0.024912,1,cluster1
37,0.04657,0.052261,-0.078715,0.056729,-0.019731,0.029371,-0.016121,0.071459,-0.024864,-0.012664,0.020853,-0.120367,-0.011356,-0.065386,-0.021803,-0.071591,-0.029258,0.027916,0.002928,-0.004091,0.009684,1,cluster1
38,0.016579,-0.000982,-0.013044,0.068875,0.0189,0.035825,-0.011987,-0.032031,-0.027509,0.002614,0.00861,-0.071327,0.031676,-0.129175,0.007427,-0.039246,-0.062714,-0.0151,0.058627,-0.027534,-0.0054,1,cluster1
39,0.014827,0.054954,-0.023824,0.064999,-0.02681,0.009645,-0.099588,0.030556,-0.047945,-0.029658,0.064885,-0.031752,-0.034157,-0.080089,-0.059744,-0.018025,-0.083076,0.072857,0.008251,-0.040483,-0.054676,1,cluster1
40,-0.001324,0.013696,-0.027512,0.075193,-0.021423,0.049376,-0.010908,0.012501,0.017333,0.011818,0.004131,-0.104179,-0.003033,-0.140969,0.043652,-0.089812,-0.017386,0.001788,0.042984,-0.021177,-0.00569,1,cluster1
41,0.026805,0.028932,-0.032319,0.038814,0.01624,0.009739,0.058795,0.12043,-0.018489,0.01993,0.032402,-0.10273,0.038381,-0.044768,-0.005496,-0.089053,0.012916,-0.007552,0.083729,0.065515,0.038332,1,cluster1
42,-0.083223,0.024531,0.053988,0.0913,-0.03179,0.040976,-0.041665,-0.00223,0.043754,-0.004266,-0.132629,-0.040696,0.091336,0.050239,0.106364,-0.127042,-0.012688,-0.016404,0.105023,0.018348,0.016977,0,cluster0
43,-0.069357,0.004892,0.090596,0.082162,0.032616,0.056382,-0.069345,-0.091813,-0.023169,-0.051843,-0.070758,0.013462,0.096239,0.049256,0.098733,-0.04838,-0.084631,-0.006269,0.105225,-0.010728,0.006125,0,cluster0
44,-0.078468,-0.040453,0.124251,0.04363,0.026435,0.10813,-0.013427,-0.009588,-0.009386,-0.042406,0.003843,-0.047875,0.082209,-0.014004,0.124263,-0.059776,-0.113868,-0.007005,0.118099,0.056709,0.015176,0,cluster0
45,-0.071041,-0.003919,0.116196,0.070267,0.010794,0.026009,-0.071798,0.042851,-0.031966,-0.053606,0.028105,0.018227,0.081139,0.063334,0.03387,-0.020191,-0.129525,0.032817,0.129243,0.064642,-0.027358,0,cluster0
46,-0.064941,-0.025805,0.125572,0.093017,0.022802,0.037153,-0.069139,0.03228,-0.029733,-0.049787,0.028061,0.03587,0.074388,0.066954,0.059534,-0.002088,-0.108313,0.04129,0.120411,0.064367,-0.0668,0,cluster0
47,-0.029173,-0.057171,0.164827,0.076318,0.006601,0.093337,0.088111,-0.085895,-0.106486,-0.052144,0.115494,0.0767,0.055059,-0.117195,0.122233,0.045172,-0.082435,-0.019812,0.02005,0.021123,-0.086543,0,cluster0
48,-0.052685,-0.085249,0.084986,0.060909,0.143101,0.036167,-0.076713,0.002021,0.013394,0.014614,0.027861,0.095086,-0.072507,0.015703,-0.121619,-0.027943,0.075563,0.002874,-0.116942,0.09533,0.018542,0,cluster0
49,-0.018535,-0.079911,0.051927,0.046084,0.112869,0.094045,-0.015965,-0.028536,-0.014653,0.006395,0.023096,0.027521,-0.053384,-0.065572,-0.070817,-0.075321,0.105212,-0.105157,-0.107164,0.047897,0.083927,0,cluster0
50,-0.02198,0.002108,0.088775,0.028953,0.157169,0.033069,-0.08555,-0.036636,-0.040358,-0.0122,0.054275,0.08839,-0.040592,-0.007043,-0.220062,-0.021987,0.039662,-0.030622,-0.062084,0.044148,-0.008731,0,cluster0
51,-0.114965,-0.099705,0.090277,0.070131,0.126256,0.111562,-0.049524,0.041951,0.064503,0.014147,-0.003752,0.033317,-0.069843,-0.084769,-0.114618,-0.081757,0.00831,-0.060779,-0.080236,0.084773,-0.017221,0,cluster0
52,-0.031137,-0.047973,0.060299,0.07484,0.101412,-0.012948,-0.012086,0.012973,-0.033056,0.049111,-0.02206,0.069259,-0.021487,0.019152,-0.122935,-0.117742,0.127695,-0.113639,-0.035972,0.03017,0.027096,0,cluster0
53,-0.063279,-0.082466,0.058612,0.118114,0.087518,-0.049494,-0.016926,0.052275,-0.00187,0.082797,-0.013526,0.048114,-0.038619,-0.045491,-0.096119,-0.127703,0.099985,-0.098889,-0.034474,-0.010691,0.021741,0,cluster0
54,-0.013744,0.010039,0.042211,0.022063,0.041373,-0.164027,-0.007368,-0.050028,-0.011487,-0.002539,-0.028847,-0.008584,-0.039752,0.031464,-0.068838,-0.068504,-0.143423,-0.040094,0.008613,0.131096,0.003251,1,cluster1
55,-0.008368,-0.039488,0.099053,0.035106,0.043464,-0.185659,-0.030329,-0.050628,0.019332,-0.015003,0.011936,0.004207,-0.027024,0.034329,-0.039029,-0.054494,-0.131664,-0.052887,-0.006323,0.118094,0.06029,1,cluster1
56,0.027852,0.0184,0.059182,-0.007156,0.038016,-0.133916,0.003318,-0.037338,-0.035913,-0.004565,0.035693,-0.011594,-0.108419,0.049105,-0.042649,-0.112946,-0.103092,-0.034028,-0.017057,0.081723,0.003888,1,cluster1
57,0.047252,-0.011202,0.029355,0.037466,0.027073,-0.090467,-0.032607,-0.000718,-0.030048,-0.027984,0.066558,0.02385,-0.126099,-0.007794,-0.03907,-0.10851,-0.057441,-0.05427,-0.11338,0.11448,0.030981,1,cluster1
58,0.011011,-0.012082,0.084777,0.00667,-0.028582,-0.140014,-0.032933,-0.026637,-0.049198,-0.009692,0.066616,-0.013689,-0.120625,-0.036665,-0.019854,-0.100408,-0.072899,-0.048026,-0.097349,0.106939,0.024068,1,cluster1
59,0.001258,-0.040082,0.193594,0.016847,-0.019367,-0.109213,-0.027472,-0.07558,0.012697,0.095668,0.012561,-0.112987,-0.044555,-0.127804,0.077507,-0.048711,-0.062185,-0.176847,-0.0728,0.118995,0.134591,1,cluster1
60,-0.001932,0.040221,0.022961,-0.030546,-0.046584,0.050517,0.128663,0.118707,0.033522,0.023981,0.070306,-0.011484,0.04795,-0.045283,0.032733,-0.034348,0.005803,0.058468,0.028178,0.03848,0.049324,0,cluster0
61,0.01468,0.016156,0.064206,0.008843,0.01681,-0.00071,0.19351,0.040733,-0.015104,0.012639,0.097364,0.07374,0.132349,-0.05388,0.006017,0.043807,-0.059402,0.062288,0.053029,0.014416,-0.023661,0,cluster0
62,0.028025,0.014831,0.057645,0.048286,-0.02487,0.031332,-0.030088,0.092857,-0.033629,-0.004714,0.108024,-0.067257,0.019841,0.004248,0.027039,-0.033673,-0.001391,0.090823,0.045589,0.021864,0.009227,0,cluster0
63,-0.00946,0.004485,0.031248,0.053882,-0.018397,0.017328,-0.030714,0.165884,0.012187,0.015315,0.067266,-0.103864,0.067912,0.062224,0.050925,-0.098643,0.008137,0.075539,0.099352,0.047959,0.040759,0,cluster0
64,-0.030315,0.041728,0.093232,0.036518,-0.034552,-0.037348,-0.074855,0.044744,0.004744,0.053666,0.025722,-0.020865,0.046293,0.020233,0.024802,-0.074767,-0.007142,0.115544,0.126923,-0.017239,0.009047,0,cluster0
65,-0.05728,0.122789,0.085936,-0.021001,-0.069044,-0.073356,0.117833,0.079068,0.031814,0.04934,0.036148,0.004898,0.046154,-0.038615,0.001159,-0.030571,-0.032932,0.152992,0.067037,0.042578,0.020065,0,cluster0
66,-0.087583,0.044971,0.010902,0.001556,-0.019509,-0.07406,-0.024412,-0.055866,0.103186,-0.016195,-0.089573,0.050762,0.047436,0.03508,-0.030188,-0.024998,0.014617,0.000167,-0.049979,0.025562,0.036011,1,cluster1
67,-0.08549,0.008281,0.017882,-0.020998,0.024534,-0.093971,-0.001053,-0.052886,0.067479,0.039149,-0.035778,0.001234,0.073151,-0.011619,-0.030989,0.021277,0.019117,0.06109,-0.078629,-0.00138,0.030314,1,cluster1
68,-0.172954,0.072296,0.019273,-0.034746,0.054443,-0.021049,0.133457,-0.039146,-0.115126,0.067589,0.033831,-0.1051,0.034801,0.106887,-0.116179,-0.148989,0.082541,-0.109529,-0.081948,-0.08524,-0.045793,1,cluster1
69,-0.181892,0.156246,0.041854,-0.05418,0.035638,0.002726,0.055185,-0.057644,-0.057643,-0.066458,-0.018903,-0.072312,0.087116,0.087389,-0.100927,-0.099916,0.075956,-0.187541,0.042267,0.001346,-0.016912,1,cluster1
70,-0.094867,0.053652,0.057483,-0.067612,-0.040066,-0.064399,-0.011552,0.039439,0.030221,-0.00537,0.012889,-0.050628,0.035996,-0.041228,-0.071581,0.042799,0.059719,0.061186,-0.088097,0.061544,-0.011282,1,cluster1
71,-0.145833,0.024656,0.01334,-0.027795,0.028967,-0.050353,0.042331,0.044918,-0.070193,0.012159,-0.065466,-0.046506,0.059536,0.077707,-0.0908,-0.055481,-0.00732,-0.099977,-0.062909,0.001783,-0.052317,1,cluster1
72,0.038539,-0.012841,-0.086586,0.048809,0.020476,0.050469,-0.054108,-0.093989,-0.002028,-0.054667,-0.010897,0.055758,-0.015069,-0.049817,-0.036544,-0.034755,0.03575,-0.100999,-0.013394,-0.016073,0.01613,1,cluster1
73,0.104052,0.188639,-0.002846,0.048267,-0.012397,-0.000494,-0.191001,-0.076108,-0.02261,0.283406,0.050843,-0.109413,-0.156946,-0.051115,0.083473,0.108267,0.00748,-0.047962,-0.011453,0.052794,-0.068358,1,cluster1
74,0.042019,0.02486,-0.100915,0.035863,0.022967,-0.049672,0.01674,-0.03872,-0.028794,-0.041904,0.010459,-0.078552,0.02682,-0.032879,-0.034818,-0.065504,-0.007333,-0.14206,0.072549,0.021573,0.090165,1,cluster1
75,0.010649,0.020637,-0.046353,0.058038,-0.053275,-0.088681,-0.062232,-0.160147,-0.000484,-0.007945,-0.021943,-0.019586,-0.030162,-0.126574,-0.010275,-0.030787,0.0457,-0.059263,0.007767,-0.062097,0.012001,1,cluster1
76,0.046163,0.068051,-0.039371,0.036215,-0.008006,0.032728,-0.065265,-0.146284,-0.010327,-0.035787,-0.034954,0.004029,-0.063206,0.003534,-0.054586,-0.066494,0.097897,-0.106907,0.011806,-0.094106,-0.029864,1,cluster1
77,0.035624,0.086283,-0.060027,0.018084,0.001574,-0.116812,-0.069403,-0.122723,-0.024316,-0.033746,-0.004811,0.026334,-0.012513,-0.037069,-0.107089,-0.052135,-0.024069,-0.066133,0.07034,-0.027878,0.04422,1,cluster1
78,0.039006,-0.062969,-0.01596,0.023862,0.040435,-0.015352,0.064393,-0.1151,-0.044937,-0.005916,0.045682,-0.089217,-0.069636,-0.026083,0.048485,0.004505,0.065196,-0.03502,-0.018297,0.025012,0.019516,1,cluster1
79,-0.02441,-0.142499,0.054218,0.063596,-0.161558,-0.155707,-0.065104,-0.0477,0.04914,-0.026586,-0.026144,-0.085718,0.122801,-0.062402,-0.027304,0.138719,-0.007944,-0.015307,-0.091969,0.090666,-0.109022,1,cluster1
80,0.023796,-0.070048,-0.027559,0.001244,-0.083506,-0.095576,0.06137,0.098767,-0.009113,-0.020792,0.015335,-0.155791,-0.045691,0.080154,0.025427,0.004035,-0.022189,-0.023069,0.04796,0.114014,0.045037,1,cluster1
81,0.03433,-0.059712,-0.021125,0.047864,-0.058672,-0.146985,-0.017977,-0.055054,-0.00444,0.003698,-0.019439,-0.067425,0.047221,0.031784,-0.063265,0.114172,0.028887,0.042558,0.020949,0.021349,-0.014984,1,cluster1
82,0.021115,-0.038153,-0.053307,0.035432,-0.019944,-0.082043,0.031237,0.024928,-0.002087,-0.030656,0.00635,-0.127202,0.003054,0.030601,-0.037046,0.055021,-0.042638,0.015187,0.03346,0.143896,0.00895,1,cluster1
83,0.079204,-0.038931,-0.022114,-0.042509,-0.000578,0.025607,0.107827,-0.002912,-0.023095,-0.044333,0.038808,-0.11383,0.015863,0.005336,-0.036833,0.0491,0.060106,-0.032294,0.025853,0.172824,0.025258,1,cluster1
84,0.06443,0.08616,-0.044078,0.098647,-0.015292,0.064221,0.101741,0.037572,0.04648,-0.048751,-0.095684,0.034921,-0.083347,0.040585,-0.063121,0.061862,-0.002972,0.024966,-0.068938,-0.060408,-0.02673,1,cluster1
85,0.073114,0.001469,-0.018491,0.130216,0.078357,0.113409,0.005828,0.024193,0.001317,-0.060768,-0.119652,-0.011264,-0.033729,0.066481,-0.054631,0.073576,-0.076315,0.038877,0.02741,-0.035181,-0.029876,1,cluster1
86,0.029493,0.027309,0.060986,0.109347,0.039403,0.101899,-0.00431,-0.057147,0.030142,-0.018433,-0.163345,0.047828,-0.094959,-0.000225,-0.067892,0.087473,-0.026793,0.086237,0.022833,-0.056263,-0.085965,1,cluster1
87,0.10914,0.015894,0.072482,0.075138,0.023359,0.168193,0.121899,0.077054,-0.006167,-0.026366,-0.072755,-0.112369,-0.129443,0.023365,-0.008233,0.045058,0.001395,-0.040946,0.028786,-0.082496,0.021858,1,cluster1
88,0.068452,-0.007308,0.174662,0.027585,-0.048707,0.076072,0.128092,0.055972,0.004792,-0.022596,-0.114176,-0.03229,-0.007056,-0.085317,-0.103124,0.138943,-0.032147,-0.058565,0.038807,-0.129945,0.047672,1,cluster1
89,0.100689,-0.006134,-0.054076,0.202803,-0.072809,-0.030049,-0.004916,0.154562,-0.021573,-0.104438,-0.164375,-0.013478,-0.038314,0.018031,-0.089505,0.176653,-0.15544,-0.079614,0.059998,-0.017475,0.025097,1,cluster1
90,0.121499,0.046846,0.027095,0.048983,-0.018153,0.110841,0.140752,0.066788,0.013701,-0.109154,-0.11394,0.026954,-0.131677,-0.03242,-0.08341,0.120309,-0.086063,-0.119992,0.048575,-0.105357,0.070426,1,cluster1
91,0.096915,-0.103174,0.245921,-0.129943,-0.041331,0.09642,-0.023588,0.055821,-0.063825,0.018592,-0.03012,-0.093209,0.056999,0.046674,-0.06522,0.00005,0.164371,-0.058587,0.072427,-0.226343,0.073314,1,cluster1
92,0.033157,0.048414,0.051093,-0.010269,0.00877,-0.034368,-0.017806,0.074568,-0.017496,-0.015652,-0.044614,-0.095374,-0.00115,0.128742,-0.074375,-0.007672,0.049917,0.014551,0.093086,0.038386,0.087979,1,cluster1
93,0.066769,-0.016986,0.257129,-0.146806,-0.273726,-0.070328,-0.0529,0.103051,-0.006191,-0.038035,0.037323,-0.011191,0.024411,-0.073504,-0.05107,0.101485,0.190206,-0.016536,0.008986,-0.087367,0.122338,1,cluster1
94,0.042794,0.066892,-0.003597,-0.045698,0.064533,0.010865,0.11641,-0.085393,-0.005829,0.011485,-0.017827,0.065534,0.040262,0.029618,-0.030727,0.008362,0.051771,0.044473,0.046251,-0.097972,0.050623,1,cluster1
95,0.003848,0.029325,-0.025992,0.018535,0.059143,-0.012268,-0.048666,-0.014631,-0.017349,-0.021483,-0.07876,0.015237,0.044283,0.111577,-0.034755,-0.029412,0.053111,0.005638,0.105322,-0.045888,0.039756,1,cluster1
96,-0.02826,0.001418,-0.028118,-0.018096,-0.022132,0.045534,-0.028501,0.035937,0.01907,0.017098,-0.094796,-0.049299,-0.009483,0.021231,0.063287,-0.102015,0.122242,-0.005856,0.064666,-0.06537,0.050502,1,cluster1
97,-0.051992,-0.032584,-0.058928,0.10491,0.078685,-0.12324,-0.041943,-0.042608,0.05112,-0.018233,0.013003,-0.025297,-0.031306,0.125126,-0.042251,0.086094,-0.046495,0.042895,0.018659,-0.019241,0.051191,1,cluster1
98,-0.138737,-0.041499,-0.007952,0.035424,0.085139,-0.072724,0.069798,-0.08767,0.141415,0.063803,-0.04237,-0.065797,-0.040992,0.004185,0.041087,0.030785,0.070457,0.04032,0.0602,-0.064973,0.029984,1,cluster1
99,-0.132775,-0.046654,0.040626,-0.005178,0.054782,-0.168824,0.031454,-0.054612,0.173251,-0.022048,0.02361,-0.007809,-0.044158,0.005503,0.001334,0.122992,-0.042658,-0.022513,0.165976,-0.105019,0.054128,1,cluster1
100,-0.190008,-0.126431,-0.032312,0.1385,-0.072176,-0.095754,0.118272,-0.049981,0.260694,-0.000352,0.286328,-0.191198,-0.060634,0.032376,-0.091352,0.192744,0.072628,-0.112615,0.117679,-0.25853,-0.104698,1,cluster1
101,-0.113834,-0.023953,-0.043062,-0.10295,-0.036772,-0.014249,0.103492,-0.01898,0.083736,-0.044636,-0.012554,0.061689,-0.147853,0.083204,0.111394,-0.04544,-0.027142,-0.028548,0.05513,-0.013955,-0.175655,1,cluster1
102,-0.063073,0.207044,-0.05714,-0.022839,-0.142641,-0.035659,0.074976,-0.036869,0.153273,0.142942,0.182365,-0.028674,-0.12525,0.275758,0.03187,0.039315,-0.091452,-0.342204,0.103854,-0.055076,-0.248432,1,cluster1
103,-0.055518,0.082843,-0.029812,-0.078857,-0.065764,-0.075619,0.045739,0.060875,0.051969,0.043714,-0.00561,0.054592,-0.000116,-0.064079,-0.082787,-0.05862,0.012592,0.096231,0.068229,0.045374,0.016118,1,cluster1
