@relation epilepsy-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N36-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute K36 numeric
@attribute y numeric

@data
4.312401,-4.075538,-3.089035,3.447949,10.031877,8.251419,10.440563,-0.491187,6.4939,11.379118,2.078061,-0.895893,4.914639,2.283524,-6.005051,2.224688,21.329263,-1.645544,0.15731,-4.676906,1.31639,4.822641,-0.677843,-7.934145,-1.734247,-6.196336,0.664669,-3.208276,-5.856507,-6.920478,9.448968,-10.83928,-3.952112,-10.360238,-5.06067,3.969213,5
5.403739,-2.651389,-3.600097,3.217312,8.039872,9.265781,12.168156,1.189185,6.273472,11.698725,3.227223,0.02052,4.185574,1.865568,-7.355672,3.83136,22.770075,-1.739128,0.765471,-6.476581,1.23764,5.099081,-1.092493,-8.152373,-0.182421,-5.550107,-1.59804,-0.714377,-5.935141,-6.58793,8.623179,-12.128805,-3.97505,-11.74084,-4.374972,6.035482,1
4.133205,-4.029062,-2.598017,3.593659,9.429352,7.815451,9.531825,-0.347914,5.964786,11.161891,1.99663,-1.435399,4.386796,2.668437,-6.16969,2.128427,20.971058,-1.610941,0.524652,-4.708497,1.077311,4.136395,-0.640429,-8.385187,-1.831266,-5.78409,0.248035,-3.479745,-5.732835,-6.957988,9.573435,-10.313704,-4.6375,-10.768278,-5.095188,3.590006,3
4.193835,-3.962087,-2.867007,3.7438,10.075883,7.914861,10.78127,-0.098006,6.420409,11.815959,2.120567,-1.656537,5.422462,2.160032,-6.301305,3.048406,22.053202,-1.96019,0.350619,-5.23277,0.922788,4.237161,-0.464649,-8.165161,-1.446921,-6.396997,1.014627,-3.300393,-5.7266,-6.773931,9.668351,-10.745685,-3.735064,-10.742351,-5.459578,3.828333,4
4.504882,-3.744728,-2.801201,3.543461,9.767398,8.204354,10.293161,-0.466805,6.266288,11.682153,1.801994,-1.177691,5.041226,2.328029,-5.862173,2.555426,21.335305,-1.59489,0.269367,-4.784608,1.271315,4.662269,-0.617613,-8.367719,-1.795262,-6.482266,0.51271,-3.301315,-5.872373,-6.9427,9.503273,-10.592371,-4.095483,-10.755722,-4.943259,3.808404,2
4.373673,-3.831381,-3.077116,3.612783,10.099699,7.779026,10.891326,-0.02339,6.323738,11.990565,1.89743,-0.733021,4.991003,1.956868,-5.713469,3.04158,21.645631,-1.618832,0.579009,-4.880474,1.258519,4.746981,-0.724761,-8.457337,-1.870987,-6.307431,0.67458,-3.490874,-6.044875,-6.856609,9.115304,-10.921249,-3.686888,-10.671763,-5.139048,4.234281,3
4.443164,-4.094892,-3.075824,3.888593,10.377089,8.400173,10.564067,-0.443597,6.59466,11.923559,1.906887,-1.081863,4.922249,2.373673,-6.101793,2.575194,22.145155,-1.667312,0.314109,-5.051161,1.499301,4.923108,-0.662703,-8.487494,-1.908344,-6.384532,0.734734,-3.499427,-6.161854,-7.180281,9.785043,-10.977286,-4.384645,-10.904587,-5.030222,3.981467,2
4.47798,-3.900533,-3.017333,3.917249,9.672546,8.153977,10.492158,-0.327342,6.44542,11.704451,1.882393,-1.109323,4.666245,2.304674,-6.307337,2.530138,21.714475,-1.462618,0.568421,-4.78792,1.336274,4.561515,-0.65854,-8.365776,-1.825866,-5.945469,0.395961,-3.170955,-6.263813,-7.109092,9.44551,-10.9052,-4.2409,-10.888163,-5.194051,4.154695,3
4.419206,-3.924046,-3.080044,3.845212,10.258959,8.289406,10.913044,-0.233628,6.591718,11.706507,1.894207,-1.028099,5.177798,2.410556,-6.083756,2.640541,21.7044,-1.911872,0.455858,-5.126825,1.273733,4.551571,-0.70424,-8.223214,-2.030014,-6.160879,0.502161,-3.080399,-5.870658,-6.859281,9.669901,-10.761639,-4.184228,-10.710817,-5.104009,4.249874,4
4.498806,-3.683513,-2.633457,3.914196,10.45094,8.257388,10.58241,-0.065238,6.855686,11.557135,1.442474,-1.778896,4.839497,2.37182,-6.210294,2.429785,21.594899,-1.295143,0.482548,-5.131952,1.391261,4.576345,-0.610382,-7.860696,-1.533618,-5.923241,0.629833,-2.507635,-5.597675,-6.449423,9.40787,-10.261823,-3.940648,-9.911269,-4.783434,3.803925,2
1.210245,-4.764117,-5.275179,4.638754,12.32424,10.32697,10.793737,-0.229304,7.111155,13.167094,4.697268,-3.796692,8.224735,-2.733306,-8.40755,3.534802,22.893976,-3.799266,-2.082873,-7.63868,1.616552,3.669758,2.097869,-6.936179,-2.430921,-7.32052,0.468114,2.007126,-7.390567,-2.734032,10.225846,-10.966658,-3.593978,-7.9431,-3.531979,5.716365,1
4.436723,-4.182934,-3.109821,3.980499,10.033985,8.066358,10.277948,-0.511483,6.602138,11.340561,1.906331,-0.75258,4.503748,2.064603,-5.966324,2.568708,21.665333,-1.503609,0.306725,-4.733901,1.459885,4.791282,-0.683211,-8.134776,-1.733151,-6.202581,0.664158,-3.561232,-6.150526,-7.133933,9.360207,-10.761528,-4.106717,-10.557409,-5.03817,3.829388,2
3.814049,-4.921674,-2.747916,3.653848,10.187045,6.974063,10.32272,-0.183966,6.432045,11.234246,1.54488,-1.32937,4.832449,2.005611,-4.789647,1.653965,21.321152,-1.79689,0.258938,-4.924484,0.911743,4.326814,-0.894447,-8.715209,-2.130899,-6.409598,1.875524,-4.549789,-5.552654,-7.167079,10.742867,-10.931269,-4.265967,-9.473831,-5.137354,3.8095,1
6.002374,-3.725406,-2.629622,3.74619,9.625619,7.07072,10.48167,-0.354016,6.314877,12.140997,0.527129,-1.115023,5.423053,2.151273,-4.857976,2.197768,21.486113,-0.687986,0.175469,-4.539937,1.526366,5.185964,-0.856291,-9.715946,-2.138399,-5.857784,1.109872,-4.303149,-7.058795,-7.71268,9.340176,-10.914636,-4.221174,-10.707119,-4.631045,3.945993,1
4.414218,-4.210519,-1.549863,0.757218,12.063687,12.143119,16.152692,-0.476721,8.543216,13.776843,4.753969,0.349852,7.91675,4.527155,-8.694808,2.558634,20.802259,-0.164522,-0.897715,-4.598565,-0.070484,5.358139,-0.813797,-5.212276,-1.605282,-9.35685,-1.912458,-2.696093,-5.198527,-5.642287,9.812624,-12.228199,-0.640272,-11.226149,-4.680032,4.761066,1
4.419662,-4.018181,-3.084453,3.810489,10.23496,8.293158,10.533346,-0.477743,6.555116,12.033988,1.93105,-0.868381,4.930002,2.207253,-6.091857,2.792204,22.259333,-1.670404,0.328717,-5.052174,1.505566,4.953631,-0.606419,-8.573641,-1.869503,-6.37169,0.542329,-3.518244,-6.042514,-7.15337,9.541463,-10.944765,-4.277294,-10.930051,-5.015882,3.970931,3
4.138417,-4.00445,-2.875398,3.553922,9.730095,8.034466,10.040569,-0.413463,6.103539,11.409694,1.9839,-0.952342,4.66755,2.222606,-5.823957,2.522654,20.962429,-1.623404,0.15845,-4.708189,1.314658,4.56055,-0.682227,-8.13467,-1.760941,-6.149795,0.506828,-3.544642,-5.911718,-6.755542,9.362244,-10.482945,-4.00292,-10.700451,-4.814265,3.866436,5
2.754619,-4.651842,-2.818332,3.96913,10.459637,8.934606,10.51667,0.477682,7.308719,11.369266,1.056548,-1.513558,4.12728,2.290594,-6.484466,1.67429,21.776723,-2.587958,0.993525,-4.829046,-0.168632,2.868721,0.137386,-7.875813,-1.393092,-6.669946,0.941771,-2.916586,-4.96006,-6.844351,10.466277,-10.566613,-3.847851,-11.255772,-5.327066,4.939109,1
4.465374,-3.972995,-2.735204,3.606159,9.977325,7.763682,10.165337,-1.056307,6.476046,11.539402,1.739234,-1.258512,4.801849,2.250118,-6.053121,2.691439,21.968539,-1.257344,0.186587,-4.45404,1.528272,4.902766,-0.478334,-8.563718,-1.84542,-6.293365,0.896,-3.586537,-5.881114,-6.981526,9.173689,-10.706334,-4.359059,-10.681235,-5.464748,3.573914,2
4.42257,-3.914986,-3.224296,3.675659,10.028067,8.279101,10.468908,-0.251849,6.386875,11.502948,2.182561,-0.921124,4.640647,1.837595,-5.753952,2.541655,21.545855,-1.633665,0.288104,-4.993873,1.30835,4.810212,-0.581217,-7.951265,-1.710786,-6.337775,0.577222,-3.129062,-6.087014,-6.842728,9.433161,-10.969405,-3.988262,-10.482784,-4.970846,4.097764,2
3.530152,-3.57161,-3.397156,4.390257,9.986811,8.871656,11.091276,-0.033143,5.847592,11.22857,3.135707,-0.581184,3.992907,2.63774,-6.389277,1.353826,21.225034,-2.51885,1.541901,-4.949387,1.044468,4.297807,-0.674457,-7.673205,-2.412097,-5.023145,-0.442955,-2.671851,-6.328765,-6.594589,10.549357,-12.054745,-4.801473,-10.64459,-4.267569,4.874864,1
4.462475,-3.893205,-3.06158,3.539893,10.031254,7.878604,10.232023,-0.20645,6.350971,11.496513,1.793927,-0.89401,4.851748,2.145803,-5.478738,2.50789,20.877101,-1.467897,0.261202,-4.705456,1.289765,4.901532,-0.674442,-8.124345,-1.758267,-6.12413,0.664209,-3.305835,-5.924762,-6.823534,9.195323,-10.541606,-3.942059,-10.35792,-4.579109,3.858133,2
4.258032,-4.168812,-2.891189,3.499011,10.171366,8.303064,10.283941,-0.74002,6.615906,11.772593,1.668814,-0.952727,4.773577,2.418099,-6.009461,2.523139,21.73859,-1.648862,0.273628,-4.95626,1.36466,4.790335,-0.702889,-8.237966,-1.954339,-6.191029,0.659899,-3.640733,-5.805019,-7.161507,9.57394,-10.866199,-4.098143,-10.894974,-5.181477,3.901775,4
4.330626,-4.271371,-3.020951,3.617163,10.226352,7.91365,10.700317,-0.34618,6.21424,11.645629,1.72116,-1.170489,4.930539,2.359691,-5.764539,2.515076,21.654265,-1.791526,0.296558,-4.92835,1.403935,4.601297,-0.828419,-8.137642,-1.807024,-6.451035,0.763173,-3.919605,-6.001437,-7.061635,9.697586,-10.513971,-4.156603,-10.664582,-5.521764,3.853442,5
4.212668,-3.955072,-3.106579,3.622624,10.065292,8.196918,10.431635,-0.331837,6.237344,11.89868,2.111069,-0.855702,4.811949,2.281256,-5.80041,2.619891,21.732888,-1.59737,0.400949,-4.964035,1.14351,4.658933,-0.42765,-8.403327,-1.966827,-6.507821,0.357052,-3.58954,-6.03001,-6.944869,9.565526,-10.968137,-4.118022,-11.137454,-4.707203,4.052576,5
4.565783,-4.958356,-3.455072,4.242113,9.297469,7.974897,9.957115,-1.242823,6.784013,11.559442,1.828611,-0.615666,4.425326,1.96201,-6.93669,2.218731,22.488885,-1.369737,-0.161373,-5.132834,1.555286,4.474452,-0.602839,-8.692957,-2.077314,-5.85156,0.662501,-4.277798,-6.693593,-7.815245,9.782888,-11.531277,-4.286133,-11.358678,-6.167778,4.361087,3
4.698008,-4.258741,-2.756063,3.574563,10.354828,8.274353,10.624961,-0.537107,6.622223,11.629815,1.664167,-1.19126,5.053993,2.415121,-6.140077,2.401705,21.714771,-1.464683,0.257201,-4.945817,1.59349,5.00293,-0.605688,-8.218562,-1.663273,-6.196843,0.403171,-3.4725,-5.756197,-7.097444,9.476166,-10.803435,-4.095212,-10.697097,-5.045282,3.721391,4
4.188452,-3.977686,-3.303125,3.567148,10.399321,8.380798,10.544176,-0.208929,6.61439,11.913498,1.834228,-0.514639,4.858948,2.326136,-6.040702,2.966522,21.845009,-1.895219,0.315723,-5.088237,1.585627,4.964712,-0.619496,-8.34023,-2.032291,-6.177442,0.370527,-3.549615,-5.917484,-7.087872,9.360164,-10.468221,-3.989097,-10.813013,-4.920244,3.984728,3
4.161517,-3.973188,-3.156909,3.697537,10.129452,8.281385,10.45885,-0.230442,6.307367,11.782589,2.160552,-0.917393,4.670402,2.255792,-6.012972,2.644921,22.045014,-1.908885,0.373219,-5.13508,1.266874,4.73652,-0.633094,-8.523315,-1.851405,-6.360569,0.500751,-3.244753,-5.858653,-7.02612,9.692515,-10.805492,-4.348811,-10.809111,-4.84457,4.071599,5
4.603654,-3.975872,-2.968067,3.551776,10.061445,7.852573,10.751042,-0.120253,6.278892,11.921449,2.178864,-0.977666,5.072754,1.788213,-5.592737,2.95385,21.661055,-1.722602,0.336945,-4.955361,1.264546,4.824146,-0.827834,-8.574677,-1.811774,-6.490391,0.842693,-3.346979,-6.212073,-6.999349,9.279341,-10.938744,-4.031631,-10.558734,-5.158006,4.115957,3
4.198446,-3.837956,-3.028247,4.003118,10.00401,8.203679,10.09416,-0.430624,6.328545,11.832864,1.786875,-1.066408,4.741351,2.156857,-5.952127,2.735759,22.021019,-1.688128,0.522842,-4.976731,1.574793,4.753816,-0.583578,-8.580379,-1.951658,-5.981147,0.442037,-3.349362,-6.003851,-7.017295,9.534126,-10.874196,-4.293188,-10.696611,-4.840945,3.792471,5
4.583019,-3.932942,-3.102335,3.725291,10.049742,8.298545,10.410819,-0.420881,6.381461,11.806384,2.032245,-0.907555,4.77714,2.11432,-5.934806,2.566527,21.792461,-1.559622,0.290368,-5.039074,1.440289,4.929353,-0.574043,-8.356201,-1.793591,-6.289411,0.46549,-3.380172,-6.185586,-7.032014,9.434948,-11.016306,-4.171885,-10.887599,-4.853702,4.047164,2
5.652004,-3.058933,-0.724267,1.637593,9.556857,10.173074,10.314849,1.636984,6.695293,9.66317,-0.142752,-0.058788,2.740343,6.57306,-3.257444,0.345026,19.504655,-2.611846,0.260731,-4.224309,3.85166,4.914608,-0.33666,-7.249303,-0.208492,-8.435647,-0.941283,-7.381107,-4.256104,-8.831424,8.92184,-11.567555,-1.061402,-13.484339,-5.240786,2.244701,1
4.824946,-3.798509,-2.404802,3.429739,9.767561,8.383322,10.626225,-0.569275,6.830448,10.972909,1.821581,-0.552379,5.003826,2.520475,-6.03619,1.817883,21.045271,-1.602344,0.625702,-4.666069,1.417548,5.013878,-0.979244,-8.512297,-1.59674,-6.32693,0.526441,-3.135272,-5.606862,-6.662706,9.486091,-10.843083,-3.74331,-10.024739,-4.833494,3.804883,4
4.385762,-3.879815,-3.063548,3.559382,9.998999,8.043036,10.305656,-0.3103,6.316919,11.731821,1.89745,-0.88404,4.798501,1.943205,-5.668715,2.730181,21.552856,-1.670802,0.271516,-4.976114,1.335434,4.842457,-0.581264,-8.265502,-1.736327,-6.298606,0.57726,-3.286533,-5.972206,-6.875275,9.284707,-10.728025,-3.986282,-10.634998,-4.759527,3.978179,3
4.275507,-3.879595,-2.858928,4.145612,10.343781,8.639411,11.115654,-0.027264,6.696179,12.211608,2.125573,-0.837251,5.055858,2.469345,-6.508297,2.829213,22.404586,-1.535688,0.784293,-4.949857,1.140299,4.725092,-0.582302,-8.464108,-1.947559,-6.460118,0.375474,-3.390403,-6.068676,-7.263324,9.472463,-11.076332,-4.158548,-10.956628,-5.143943,4.161867,2
4.326874,-4.103826,-3.416354,4.049149,10.24441,8.007699,10.033414,-0.758034,6.573017,11.716293,1.961317,-1.184556,4.958127,1.897211,-6.221374,2.959025,22.236517,-1.937039,0.009149,-5.094536,1.423713,4.52787,-0.383201,-8.386264,-1.651436,-6.351032,1.030704,-3.495552,-6.021423,-7.030081,9.605886,-10.926819,-4.482282,-11.015956,-5.096464,3.858109,4
4.247415,-4.199281,-3.090647,3.679397,10.038409,7.99541,10.532241,-0.414823,6.411979,11.648149,1.921444,-0.856217,4.895517,2.327254,-5.956171,2.788699,21.81889,-1.606808,0.274443,-4.916383,1.439587,4.743992,-0.73653,-8.386424,-1.868493,-6.239824,0.66565,-3.641865,-5.952899,-7.044552,9.550551,-10.670323,-4.084785,-10.735838,-5.244963,3.849656,2
4.701188,-4.037601,-2.8202,3.816352,10.281961,8.288279,10.309146,-0.451799,6.70821,11.746185,1.709018,-0.846599,4.881783,2.123112,-5.885285,2.563806,21.276356,-1.533736,0.194308,-4.759,1.496009,4.878281,-0.865502,-8.616993,-1.966273,-6.006397,0.555406,-3.18453,-6.125912,-7.033482,9.558421,-10.543089,-4.221611,-10.428143,-4.664984,4.035041,5
4.391837,-4.269478,-3.129755,3.581748,10.199294,8.156567,10.582067,-0.364824,6.157344,11.579103,2.126127,-0.977746,4.748939,2.26051,-5.634048,2.539297,21.695395,-1.734786,0.073513,-5.024205,0.986812,4.767676,-0.616723,-7.959347,-1.731079,-6.795736,0.65947,-3.706644,-5.70894,-7.20732,9.594176,-10.822311,-4.082827,-10.809488,-5.475035,3.736403,3
4.446969,-3.855791,-2.901161,3.450425,10.206357,8.102548,10.516174,-0.180611,6.313394,11.802792,1.962194,-1.169881,5.04148,2.146797,-5.770461,2.744755,21.402898,-1.713282,0.437847,-4.964858,1.131689,4.737041,-0.752131,-8.289663,-1.787617,-6.424336,0.701798,-2.949747,-5.914417,-6.842236,9.45172,-10.572925,-4.058765,-10.574208,-4.911817,3.888657,5
4.548892,-4.604453,-3.077231,3.983209,9.455712,8.042366,9.838799,-0.914169,6.726466,11.404666,1.496076,-0.726552,4.294942,2.095925,-6.43676,2.294652,21.741942,-1.628568,0.049568,-4.904936,1.804903,4.677552,-0.60778,-8.636825,-1.728405,-5.646759,0.44827,-4.045296,-6.445075,-7.418943,9.312818,-10.950628,-4.266351,-10.947758,-5.499022,4.213998,3
5.66581,-3.797016,-3.32502,2.60819,12.580304,10.001206,12.637318,-2.040628,6.506852,13.015951,-1.078726,0.70455,5.759093,3.169258,-3.99434,-1.548874,21.347341,-2.744403,1.318432,-5.504586,3.505662,7.829109,-0.339821,-7.00127,-2.458274,-3.644072,-3.95041,-3.246852,-8.97972,-6.178267,11.228071,-12.286948,-3.457437,-10.271536,-0.32715,6.097406,1
4.828069,-3.827432,-2.68197,3.207893,10.371621,7.578141,10.925428,0.136063,6.247189,11.830964,1.547354,-1.104737,5.4012,2.147125,-5.184648,3.046357,20.810906,-1.609207,0.259352,-4.694403,1.49547,4.842788,-1.036906,-8.437045,-1.725343,-6.392052,1.141967,-3.152057,-5.935012,-6.702928,9.113194,-10.199036,-3.578679,-10.216479,-4.948545,3.663132,3
4.271679,-4.100431,-3.191964,3.597121,10.447661,8.473144,10.742006,-0.46822,6.64727,11.935626,1.962666,-1.161274,5.203072,2.490495,-6.516206,2.889255,21.937172,-1.805722,0.155777,-5.07826,1.496158,4.945474,-0.538519,-8.24748,-1.915577,-6.370783,0.455787,-3.204703,-5.832139,-6.909147,9.621561,-10.49576,-4.194911,-10.80432,-5.330076,3.82097,3
4.326838,-4.520784,-2.839294,4.216484,10.040482,8.481777,10.656441,-0.487338,6.784067,11.84022,2.009634,-1.137947,5.291672,2.622922,-6.539188,2.55165,22.640781,-1.797962,0.416683,-5.21727,1.212768,4.598027,-0.675675,-8.725989,-1.94191,-6.476516,0.704584,-3.99198,-5.889659,-7.501173,10.128782,-11.103352,-4.48684,-10.98936,-5.569311,3.878393,5
4.410411,-3.776486,-3.152802,3.955259,10.007076,7.905118,10.449918,-0.16287,6.510897,11.73123,1.992984,-0.647671,4.464702,1.811387,-5.671152,2.729875,21.707741,-1.488259,0.476103,-4.920327,1.395283,4.653404,-0.515602,-8.168165,-1.820228,-6.057229,0.401789,-3.382068,-6.236904,-6.956247,8.906126,-10.702153,-3.98945,-10.815609,-4.72201,4.097078,3
4.449193,-3.990848,-3.009494,3.82217,10.099484,8.001342,10.353562,-0.270226,6.456103,11.912902,1.612978,-1.173733,4.776018,2.111053,-5.814508,2.680388,21.770306,-1.502322,0.308986,-4.893932,1.527509,4.607345,-0.609905,-8.560448,-1.901977,-6.184535,0.744304,-3.362605,-6.274183,-7.018718,9.556116,-10.775282,-4.07801,-10.925917,-4.972129,3.986525,5
4.265357,-4.637847,-3.243423,3.868755,9.736414,7.938164,10.912376,-1.245322,6.470921,10.945186,2.959962,-0.343869,4.668637,1.411781,-6.104518,2.279829,21.784294,-2.077344,-0.696927,-5.275789,1.434815,4.567111,-0.681581,-7.881058,-1.022478,-6.596455,0.67179,-3.149572,-6.732355,-6.03403,9.078865,-11.158303,-4.176563,-10.237797,-4.493208,4.458869,1
4.519044,-4.07401,-2.934872,3.549682,9.905576,7.977748,10.382131,-0.180991,6.364422,11.624995,1.935659,-0.950664,4.873385,2.204137,-5.756672,2.572965,21.334953,-1.60919,0.397646,-4.955132,1.280372,4.59874,-0.731161,-8.483439,-1.842803,-6.265273,0.695722,-3.471442,-6.16356,-7.030384,9.546773,-10.737918,-3.976376,-10.799817,-4.984929,3.965189,3
4.145208,-3.717521,-3.29982,3.565266,10.043846,8.149176,10.256207,-0.333893,6.14192,11.580086,2.248916,-0.738145,4.657071,1.943576,-5.910911,2.93389,21.35108,-1.779415,0.280132,-5.035009,1.469392,4.855255,-0.438737,-7.995252,-1.784362,-6.288758,0.380869,-3.262558,-5.91848,-6.591465,8.978411,-10.726404,-4.089827,-10.642507,-4.836987,4.097568,3
4.668719,-4.078891,-2.931184,3.654546,10.408668,7.993634,10.81925,-0.079988,6.365612,12.045284,1.827478,-0.985064,5.288244,2.140713,-5.536729,2.95539,21.74005,-1.721963,0.277201,-4.980282,1.365109,4.805409,-0.832741,-8.7269,-1.796095,-6.637146,0.945054,-3.547216,-6.16167,-7.056824,9.591382,-10.847413,-3.981399,-10.840047,-4.819797,3.88724,3
4.045232,-4.008011,-2.860723,3.753636,9.836942,7.894849,10.182207,-0.466478,6.051044,11.756395,1.448272,-1.128935,4.761347,2.258651,-5.783739,2.454093,21.329563,-1.936386,0.307709,-4.929183,1.145265,3.897911,-0.680954,-8.365102,-1.664962,-6.29256,0.403616,-3.243508,-6.071134,-6.76649,9.838728,-10.474974,-4.434369,-10.758968,-4.455159,3.8702,4
4.60508,-4.116714,-3.175305,3.557208,10.042817,8.021101,10.617032,-0.321332,6.283314,11.741952,1.974129,-1.093471,4.979284,2.376363,-6.010571,2.481963,21.474898,-1.594671,0.19187,-4.867982,1.228878,4.818597,-0.710676,-8.353354,-1.782649,-6.2214,0.533537,-3.240733,-6.059372,-7.0257,9.477846,-10.775679,-4.29772,-10.784102,-5.041608,4.016215,5
